entity_id,entity_type,timestamp,source_ip,geo_location,lat,lon,resource_accessed,resource_sensitivity,auth_method,auth_status,session_duration,command_sequence,device_fingerprint,label,hour_of_day,day_of_week,off_hours_score,resource_sensitivity_weight,auth_failure_flag,auth_method_encoded,geo_velocity,location_change,device_change,new_resource_access,new_device_flag,failed_login_count,historical_resource_score,historical_login_score,is_cold_start,resource_diversity,resource_frequency,anomaly_score,is_anomaly,predicted_attack,confidence_score,risk_score,severity,factor_device,factor_geo,factor_off_hours,factor_sensitivity,factor_failures
user_225,user,2026-07-16 04:11:25.888301,185.220.28.160,Berlin,52.52,13.405,Company_Wiki,internal,password,failure,2,CREDENTIAL_CHECK_FAIL,Automated-Python-Script,credential_stuffing,4,3,1.0,0.3,1,1,1606.9065990454008,6475.890668350823,1.0,0,1,14,0.5184210526315789,0.0743421052631578,0,3,0.5184210526315789,0.8132022614025379,1,credential_stuffing,1.0,100,Critical,15,25,15,3,15
user_397,user,2026-07-05 04:17:31.034381,185.220.143.234,Berlin,52.52,13.405,Company_Wiki,internal,password,failure,2,CREDENTIAL_CHECK_FAIL,Automated-Python-Script,credential_stuffing,4,6,1.0,0.3,1,1,785.4457390829333,6286.14937962506,1.0,1,1,6,0.0,0.1152777777777777,0,5,0.0,0.991869896102347,1,credential_stuffing,1.0,100,Critical,15,25,15,3,9
user_295,user,2026-07-05 04:17:52.034381,185.220.143.234,Berlin,52.52,13.405,Company_Wiki,internal,password,failure,2,CREDENTIAL_CHECK_FAIL,Automated-Python-Script,credential_stuffing,4,6,1.0,0.3,1,1,606.5013955335012,6475.890668350823,1.0,1,1,13,0.0,0.0856060606060606,0,6,0.0,0.9999999708681426,1,credential_stuffing,1.0,100,Critical,15,19,15,3,15
user_093,user,2026-07-16 04:11:01.888301,185.220.28.160,Berlin,52.52,13.405,Company_Wiki,internal,password,failure,2,CREDENTIAL_CHECK_FAIL,Automated-Python-Script,credential_stuffing,4,3,1.0,0.3,1,1,1297.0419230435602,16094.499950077838,1.0,1,1,6,0.0,0.0,0,3,0.0,0.9492203375084012,1,credential_stuffing,1.0,100,Critical,15,25,15,3,9
user_743,user,2026-07-16 04:11:04.888301,185.220.28.160,Berlin,52.52,13.405,Company_Wiki,internal,password,failure,2,CREDENTIAL_CHECK_FAIL,Automated-Python-Script,credential_stuffing,4,3,1.0,0.3,1,1,1854.5683663910345,6385.003586143814,1.0,1,1,7,0.0,0.0,0,4,0.0,0.9679151936463056,1,credential_stuffing,1.0,100,Critical,15,25,15,3,10
user_400,user,2026-07-05 04:18:16.034381,185.220.143.234,Berlin,52.52,13.405,Company_Wiki,internal,password,failure,2,CREDENTIAL_CHECK_FAIL,Automated-Python-Script,credential_stuffing,4,6,1.0,0.3,1,1,1938.9593543334263,6475.890668350823,1.0,0,1,21,0.3333333333333333,0.0,0,2,0.3333333333333333,0.8694567315772503,1,credential_stuffing,1.0,100,Critical,15,25,15,3,15
user_121,user,2026-07-05 04:18:19.034381,185.220.143.234,Berlin,52.52,13.405,Company_Wiki,internal,password,failure,2,CREDENTIAL_CHECK_FAIL,Automated-Python-Script,credential_stuffing,4,6,1.0,0.3,1,1,7592.034402379426,16094.499950077838,1.0,0,1,22,0.4381818181818182,0.0,0,5,0.4381818181818182,0.8748243456865531,1,credential_stuffing,0.99,100,Critical,15,25,15,3,15
user_493,user,2026-07-16 04:11:13.888301,185.220.28.160,Berlin,52.52,13.405,Company_Wiki,internal,password,failure,2,CREDENTIAL_CHECK_FAIL,Automated-Python-Script,credential_stuffing,4,3,1.0,0.3,1,1,1122.3037932857485,8915.526545173054,1.0,0,1,10,0.3628205128205128,0.0,0,5,0.3628205128205128,0.8137482972597677,1,credential_stuffing,1.0,100,Critical,15,25,15,3,15
user_375,user,2026-07-16 04:11:19.888301,185.220.28.160,Berlin,52.52,13.405,Company_Wiki,internal,password,failure,2,CREDENTIAL_CHECK_FAIL,Automated-Python-Script,credential_stuffing,4,3,1.0,0.3,1,1,10168.98694878103,9916.298854184965,1.0,1,1,12,0.0,0.0,0,5,0.0,0.9652221810488782,1,credential_stuffing,0.99,100,Critical,15,25,15,3,15
user_752,user,2026-07-16 04:11:28.888301,185.220.28.160,Berlin,52.52,13.405,Company_Wiki,internal,password,failure,2,CREDENTIAL_CHECK_FAIL,Automated-Python-Script,credential_stuffing,4,3,1.0,0.3,1,1,2794.127815488147,9105.205859445445,1.0,0,1,15,0.3863636363636363,0.0,0,4,0.3863636363636363,0.8201139439615693,1,credential_stuffing,1.0,100,Critical,15,25,15,3,15
